id,text_no_spaces,predicted_positions
526,"Вдень,когданашла,сумасошла.","[1, 7, 13, 20, 22, 26]"
527,"Ты,совсемкаквосне,","[3, 10, 14, 17, 19]"
528,"Совсемкаквальбомах,","[6, 10, 12]"
529,Гдеярисовалатебягуашью.,"[3, 5, 14, 19]"
530,"Дальшебылизвонки,ночныебольше.","[6, 11, 19, 26]"
531,"Слезы,нервы,любовьистрелкивПольше.","[6, 13, 20, 22, 30, 32]"
532,"Дети,нонемои,старыезазнобы,","[5, 8, 11, 16, 23]"
533,"Куришькаждыепять,мыусталиоба.","[6, 13, 19, 22, 29]"
534,...годамидолгими.,"[3, 10]"
535,...ночамитемными.,"[3, 10]"
536,"Искалатебядворамитемными,","[6, 11, 19]"
537,"Вжурналах,вкино,годамидолгими,","[1, 11, 13, 19, 26]"
538,"Искалатебяночами,чами,чами,чами...","[6, 11, 19, 25, 31]"
539,Большиегорода,[7]
540,Пустыепоезда,[6]
541,Нибереганидна,"[2, 9, 12]"
542,Всеначинатьсначала,"[3, 12]"
543,Холоднаявойна,[8]
544,Ивремякаквода,"[1, 7, 11]"
545,Оннесошелсума,"[2, 5, 11, 13]"
546,Тыничегонезнала,"[2, 9, 12]"
547,Полковникуниктонепишет,"[10, 16, 19]"
548,Полковниканиктонеждет,"[10, 16, 19]"
549,Налинииогня,"[2, 8]"
550,Пустыегорода,[6]
551,Вкоторыхникогда,"[1, 9]"
552,Тыраньшенебывала,"[2, 9, 12]"
553,Ирвутсяпоезда,"[1, 8]"
554,Натонкиеслова,"[2, 9]"
555,Ясижуисмотрювчужоенебоизчужогоокна,"[1, 6, 8, 15, 17, 23, 28, 31, 38]"
556,Иневижуниоднойзнакомойзвезды.,"[1, 4, 9, 12, 18, 27]"
557,"Яходилповсемдорогамитуда,исюда,","[1, 7, 10, 15, 24, 30, 32]"
558,Обернулся-инесмогразглядетьследы.,"[11, 14, 19, 30]"
559,"Ноеслиестьвкарманепачкасигарет,","[2, 7, 12, 14, 22, 28]"
560,Значитвсенетакужплохонасегодняшнийдень.,"[6, 10, 13, 17, 20, 26, 29, 41]"
561,"Ибилетнасамолетссеребристымкрылом,","[1, 7, 10, 18, 20, 32]"
562,"Что,взлетая,оставляетземлелишьтень.","[4, 13, 23, 29, 34]"
563,"Иниктонехотелбытьвиноватымбезвина,","[1, 7, 10, 16, 21, 31, 35]"
564,"Иниктонехотелрукамижарзагребать,","[1, 7, 10, 16, 23, 27]"
565,"Абезмузыкинамирусмертьнекрасна,","[1, 5, 12, 15, 20, 27, 30]"
566,Абезмузыкинехочетсяпропадать.,"[1, 5, 12, 15, 23]"
567,"Призрачновсевэтоммиребушующем,","[9, 13, 15, 20, 25]"
568,Естьтолькомиг-занегоидержись.,"[4, 11, 18, 23, 25]"
569,"Естьтолькомигмеждупрошлымибудущим,-","[4, 11, 15, 21, 30]"
570,Именноонназываетсяжизнь.,"[6, 9, 20]"
571,"Вечныйпокойсердцеврядлиобрадует,","[6, 12, 19, 26]"
572,Вечныйпокой-дляседыхпирамид.,"[6, 16, 22]"
573,"Адлязвезды,чтосорваласьипадает","[1, 5, 13, 17, 27, 29]"
574,"Естьтолькомиг,ослепительныймиг.","[4, 11, 16, 30]"
575,"Пустьэтотмирвдальлетитсквозьстолетия,","[5, 10, 14, 20, 26, 33]"
576,"Ноневсегдаподорогемнесним,","[2, 5, 12, 15, 22, 26, 28]"
577,"Чемдорожу,чемрискуюнасветея?","[3, 11, 15, 22, 25, 31]"
578,"Мигомодним,толькомигомодним.","[5, 12, 19, 25]"
579,Счастьеданоповстречатьильбедуеще,"[7, 12, 24, 28, 33]"
580,Естьтолькомиг-занегоидержись!,"[4, 11, 18, 23, 25]"
581,Волкиуходятвнебеса.,"[5, 12, 14]"
582,Горятхолодныеглаза.,"[5, 14]"
583,Приказаверитьвчудеса,"[7, 14, 16]"
584,Непоступало.,[2]
585,"Икаждыйденьдругаяцель,","[1, 8, 13, 20]"
586,"Тостеныгор,тогорыстен","[2, 8, 13, 16, 21]"
587,Иждётотчаянныхгостей,"[1, 6, 16]"
588,Чужаястая.,[5]
589,"Спиной,",[]
590,Кветруивсёже,"[1, 7, 9, 13]"
591,Вырватьсяможет,[9]
592,Чья-тодуша.,[6]
593,"Спасёт,",[]
594,Нонепоможет,"[2, 5]"
595,"Чувствуюкожей,",[8]
596,Пропащая.,[]
597,"Непомнятслов,невидятснов","[2, 9, 15, 18, 24]"
598,Перерослисвоихотцов.,"[9, 15]"
599,"И,кажется,рукабойцов","[2, 11, 16]"
600,Колотьустала.,[6]
601,Позорислававихкрови,"[5, 7, 13, 15, 18]"
602,Хватаетсмертиилюбви,"[7, 14, 16]"
603,Носкольковолканекорми,"[2, 10, 16, 19]"
604,Емувсемало.,"[3, 7]"
605,"Волкиуходят,",[5]
606,Волкиуходят...,[5]
607,"Всёизчегомоисомнениясотканы,тонко.","[3, 6, 11, 15, 24, 33]"
608,"Какойчудесныйдень,мояструитсялень","[5, 14, 20, 24, 33]"
609,Награнипросветления,"[2, 8]"
610,Сияетшамбалаинежитсядуша,"[5, 13, 15, 23]"
611,Внирваневоскресения.,"[1, 9]"
612,"О,каклегкомоивоспоминаниявыцвели","[2, 6, 12, 16, 29]"
613,Ктоятакойипочемусбиваютсямысли.,"[3, 5, 11, 13, 20, 30]"
614,"Верхомназвезде,","[6, 9]"
615,"Вцепившисьвлучи,","[10, 12]"
616,Слунойнаповодке,"[1, 7, 10]"
617,Вночи,[1]
618,Верхомназвезде,"[6, 9]"
619,"Несусьнавстречуветрам,","[6, 16]"
620,Кнесбывшейсямечте,"[1, 13]"
621,Иснам,"[1, 3]"
622,"О,жизнь,тыпрекрасна,","[2, 9, 12]"
623,"О,жизнь,тыпрекраснавполне.","[2, 9, 12, 22]"
624,Бываешьнемногоопасна.О-е.,"[7, 15, 23]"
625,"Возьмимоесердце,","[6, 10]"
626,"Храни,вспоминайобомне,","[6, 16, 20]"
627,"Поверьмне,чтовсененапрасно.","[6, 11, 15, 19, 22]"
628,"Надлесом,рекой,","[3, 10]"
629,Потеряннавсегда,[7]
630,Покой.,[]
631,Верхомназвезде.,"[6, 9]"
632,Mitornodiaboloesta.,"[4, 8, 16]"
633,Билетводинконец—,"[5, 7, 12, 18]"
634,Весна,[]
635,Исоздалэтотмир,"[1, 8, 13]"
636,Ясам,[1]
637,Верьмне…,"[4, 8]"
638,Ямаленькаялошадка,"[1, 11]"
639,Имнеживётсянесладко,"[1, 5, 13]"
640,Мнетруднонестимоюношу,"[3, 10, 16, 20]"
641,"Настанетдень,ияеёброшу","[8, 14, 16, 18, 21]"
642,Ностоюоченьмногоденег,"[2, 7, 13, 19]"
643,Иявезусвоюбольшуюповозку,"[1, 3, 8, 13, 21]"
644,Стогонаэтотберег,"[1, 6, 9, 14]"
645,"Мнехочетсяплакать,мнехочетсясмеяться","[3, 11, 20, 24, 32]"
646,"Мнехочетсяпрыгать,валятьсяибрыкаться","[3, 11, 20, 29, 31]"
647,"Чтобыбылидрузьяили,хотябыодин","[5, 10, 17, 22, 27, 30]"
648,"Нояработаю,каквол,вмоейтележкекокаин","[2, 4, 13, 17, 22, 24, 29, 37]"
649,"Яумруоченьрано,иязнаюобэтом","[1, 6, 12, 18, 20, 22, 27, 30]"
650,"Можетбытьневесной,можетбытьраннимлетом","[5, 10, 13, 21, 27, 32, 39]"
651,"Ялюблюслушатьпесни,икостранюхатьдым","[1, 7, 15, 22, 24, 31, 38]"
652,"Нонельзямнеотвлекаться,явезукокаин","[2, 9, 13, 26, 28, 33]"
653,"Яусталаужасно,яхочуотдохнуть","[1, 8, 16, 18, 23]"
654,Съестьмешковдесятьсенаинадолгоуснуть,"[6, 13, 20, 25, 27, 35]"
655,Яхочукперелётнымптицамвклинитьсявклин,"[1, 6, 8, 16, 20, 27, 38, 40]"
656,"Ноработаважней,заспинойкокаин","[2, 9, 17, 20, 27]"
657,"Мнепротивноитрудно,нонельзяотступить","[3, 12, 14, 22, 25, 32]"
658,"Хотьихочетсяесть,хотьихочетсяпить","[4, 6, 14, 20, 25, 27, 35]"
659,Мыкогда-нибудьзаэтовадскомпламенисгорим,"[2, 15, 18, 22, 24, 31, 39]"
660,"Новсёэтопотом,авданныймоменткокаин","[2, 6, 10, 17, 19, 21, 28, 35]"
661,"Мнеобидно,икапаютслёзы","[3, 11, 13, 20]"
662,Когдамнеподногикидаютрозы,"[5, 9, 13, 18, 25]"
663,Когдалюдинаулицахивокнахквартир,"[5, 10, 13, 20, 22, 24, 30]"
664,Менявстречаютиустраиваютпирнавесьмир,"[4, 14, 16, 27, 31, 34, 39]"
665,Мнерадыдажемалыедети,"[3, 8, 13, 19]"
666,Мнемашутдажедеревьевветви,"[3, 9, 14, 23]"
667,"Меняприветствуютвсе,все,какодин","[4, 17, 22, 27, 31]"
668,Япривезлаимновыймир,"[1, 10, 13, 19]"
669,Япривезлакокаин,"[1, 10]"
670,ВпиласьзанозойвсердцемоестрелаКупидона,"[7, 15, 17, 24, 28, 35]"
671,Хочетсявытащитьиникогданедуматьобэтом,"[7, 16, 18, 26, 29, 36, 39]"
672,Больнестерпимаимнедосихпорбыланезнакома,"[4, 15, 17, 21, 24, 28, 32, 37]"
673,Солнцебезжалостновыжглоглазасвоимяркимсветом,"[6, 18, 25, 31, 37, 43]"
674,"Однаонаповсюду,гдебынескрылсяя","[4, 8, 17, 21, 24, 27, 35]"
675,Вовсехглазахилицахтолькооднаона,"[2, 7, 14, 16, 22, 29, 34]"
676,"Большенетместа,гдебыямогзализыватьраны","[6, 10, 17, 21, 24, 26, 30, 41]"
677,Крыльяразбитыителомоевовластигангрены,"[6, 14, 16, 21, 25, 28, 35]"
678,"Силбольшенет,нетсна,лишьстрахпостоянный","[3, 10, 15, 19, 21, 25, 30, 36]"
679,Лишьголоствойвмоейголовеибелыестены,"[4, 10, 15, 17, 22, 29, 31, 37]"
680,Лишьоднаона,"[4, 9]"
681,ВпилосьзанозойвсердцемоестрелаКупидона,"[7, 15, 17, 24, 28, 35]"
682,Злобныйуродецникакнеоставитвпокое,"[7, 14, 20, 23, 31, 33]"
683,"Пустьбудетбольно,силынайдуивыдернускорнем","[5, 11, 19, 24, 30, 32, 40, 42]"
684,"Новаяжизнь.Нужнопонять,чтоэтотакое","[5, 12, 18, 26, 30, 34]"
685,Лишьона,[4]
686,Жизньиногдавыпускаетжало,"[5, 12, 22]"
687,"Стираяпрошлое,словновирус","[6, 15, 22]"
688,Икхоккеистуженасбежала,"[1, 3, 13, 18]"
689,Инаработеполнешийминус,"[1, 4, 11, 15, 18, 22]"
690,Нонашгерой–несдаётся,"[2, 6, 12, 14, 17]"
691,"Слезыутри,","[5, 7]"
692,Пожизниидётисмеётся,"[2, 8, 13, 15]"
693,"Вотон,смотри","[3, 7]"
694,Онсамыйсчастливыйизнас,"[2, 8, 19, 22]"
695,Избранныйнебесами,[9]
696,ОнВам–нестарыйбаркас,"[2, 6, 8, 11, 18]"
697,Афрегатспарусами,"[1, 8, 10]"
698,Вчёмжепричинатогда?,"[1, 5, 8, 16]"
699,Триобычныестрочки,"[3, 11]"
700,Ждутегодомавсегда,"[4, 8, 13]"
701,Егопапиныдочки,"[3, 10]"
702,Онпомогаетдобрымсоветом,"[2, 11, 18]"
703,Имудрымсловомонлечитдуши,"[1, 8, 15, 18, 24]"
704,"Навсевопросы,онзнаетответы","[2, 6, 15, 18, 24]"
705,"Всегдаподскажет,каксделатьлучше","[6, 17, 21, 29]"
706,Ачтоегождётвпереди?,"[1, 5, 9, 14]"
707,Тамвсёнетакгладко,"[3, 7, 10, 14]"
708,Новсёжеонпобедит,"[2, 6, 9, 12]"
709,Парень–загадка,"[6, 8]"
710,Поминутамосыпается,"[2, 10]"
711,Ожиданиеневозможного,[8]
712,Раннимутромпросыпается,"[6, 12]"
713,Отдвижениянеосторожного.,"[2, 11]"
714,Какмолчаниеледянойзимы,"[3, 12, 20]"
715,"Насзакуталонеизвестностью,","[3, 12]"
716,"Здесьтакдолгодругдругаискалимы,","[5, 9, 15, 20, 26, 33]"
717,"И,конечно,пропалибезвести","[2, 11, 19]"
718,Простится,[]
719,"Нетусил,закрываю,","[2, 9]"
720,"Яглазазакрываю,","[1, 7]"
721,Сквозьтумануплываю,"[6, 12]"
722,Поаллеямстолицы,"[2, 9]"
723,Запотерейпотеря,"[2, 10]"
724,Игодаполетели,"[1, 6]"
725,Задождямиметели,"[2, 10]"
726,Перелетныептицы,[10]
727,Тольконочьюнемогууснуть,"[6, 12, 15, 20]"
728,Странныйхолодвсердцепрячется,"[8, 14, 16, 23]"
729,Чтослучилось?–скажитемнекто-нибудь,"[3, 14, 16, 24, 28]"
730,Толькоосеньвокномнерасплачется,"[6, 12, 14, 20, 23]"
731,Вподоконникмойбьютсягорошины,"[1, 12, 16, 23]"
732,"Тишину,разбиваявесельем,","[7, 16]"
733,Умиралидавнопонемножкумы,"[7, 13, 24]"
734,"И,наверное,былоспасение","[2, 12, 17]"
735,Времясмотритспокойноспрезрением,"[5, 13, 22, 24]"
736,Выменяужеверноневспомните,"[2, 7, 11, 17, 20]"
737,Опоздавшееходитпрозрение,"[10, 16]"
738,Помоейгладковыбритойкомнате,"[2, 7, 22]"
739,Недосказаноинедослушенно,"[11, 13, 16, 21, 23]"
740,Сердцебьетсядругимивершинами,"[6, 13, 21]"
741,"Значитвсебезнадежноразрушено,","[6, 10, 21]"
742,"Нузачемже,зачемпоспешилимы","[2, 8, 12, 18, 28]"
743,"Помню,помнюякакмывстретилисьстобою","[6, 12, 14, 18, 21, 33, 35]"
744,"Былконецдня,тыспросилауменясигареточку","[3, 9, 14, 17, 26, 28, 33]"
745,"Яподумал,чтозафигня","[1, 10, 14, 17]"
746,"Сигареткаосталасьвсегоодна,нуладнона...","[9, 18, 24, 30, 33, 39]"
747,Мыпрожилипятнадцатьлет,"[2, 10, 21]"
748,Новоттеперьтыушлатебянет.,"[2, 6, 13, 16, 21, 26]"
749,Нотыушлавсвоеморанжевомплаще,"[2, 5, 10, 12, 18, 28]"
750,"Нутыдаешьвообще,нутыдаешьвообщеблин!","[2, 5, 11, 19, 22, 25, 31, 38]"
751,Нотыушлаинесказала:яскоровернусь,"[2, 5, 10, 12, 15, 24, 26, 32]"
752,"ЧёжетыделаешьЛюсь,как-жеябудуодин","[2, 5, 8, 16, 18, 23, 30, 32, 37]"
753,"Помню,помнюякакпоулицевесенний,","[6, 12, 14, 18, 21, 27]"
754,"Ястобойгулял,мыкупилибанкупиваидвухлещей","[1, 3, 9, 16, 19, 26, 32, 37, 39, 44]"
755,"Тыбыламолода-красива,","[2, 7]"
756,Ипохожанаапельсинавсвоемновомплаще,"[1, 8, 11, 21, 23, 29, 35]"
757,"Иялюбилтебякаксвою,вотитеперьотебеяпою!","[1, 3, 9, 14, 18, 24, 28, 30, 37, 39, 44, 46]"
758,"Помню,помню,какядарилтебе,чтопопросишь","[6, 13, 17, 19, 25, 31, 35]"
759,"Нокакойжедуракябыл,если-бзнал,чтотыменябросишь","[2, 8, 11, 17, 19, 24, 31, 37, 41, 44, 49]"
760,"Сэкономилбы,иялюбилтебяобожал","[9, 13, 15, 17, 23, 28]"
761,"Нуатымневспинукинжал,охнесладкомне","[2, 4, 7, 11, 13, 19, 27, 30, 39]"
762,"Япригрелнагрудизмею,вотитеперьотебеяпою!","[1, 9, 12, 18, 24, 28, 30, 37, 39, 44, 46]"
763,"Ясмотрюнатебя,","[1, 8, 11]"
764,"Втелевизореты,аянадиване.","[1, 12, 16, 18, 20, 23]"
765,"ВгородеNдожди,","[1, 8, 10]"
766,Замыкание+бах!ивсталитрамваи,"[9, 11, 16, 18, 25]"
767,Травмачерепно-мозговаямоялюбовь!,"[6, 23, 27]"
768,"По-по-понаконаплю,иктебедоплыву,долечу,доеду","[8, 11, 13, 17, 22, 24, 26, 31, 40, 48]"
769,"Рядомстобойпоселюсь,тыбудешьрадатакомусоседу!","[5, 7, 13, 23, 26, 33, 38, 45]"
770,"МыизРоссиинародпростой,ятесразускажуЗдорово!","[2, 5, 12, 18, 27, 29, 32, 38, 44]"
771,"АтыулыбнёшьсяискажешьмнеЯтакждалатебя,Вова!","[1, 4, 15, 17, 25, 29, 31, 35, 41, 47, 50, 52]"
772,"Ятакждалатебя,Вова!","[1, 5, 11, 17, 20, 22]"
773,"Втелевизореты,аянадиване","[1, 12, 16, 18, 20, 23]"
774,"ВгородеNзима,","[1, 8, 10]"
775,Скоровыходывсеивходызавалит,"[5, 12, 16, 18, 24]"
776,"Нуяпридубезкрика,безшума,","[2, 4, 10, 14, 21, 25]"
777,"Нунайдукакой-нибудьповод,","[2, 8, 21]"
778,"СкажуНуздравствуй,Ума,","[5, 8, 20]"
779,"ОнаскажетНуздравствуй,Вова.","[3, 10, 13, 25, 28, 30]"
780,Нунадокак-тоотношениязавязывать,"[2, 7, 14, 24]"
781,ЯскажуНукактытутвообщеживаздорова-то?,"[1, 7, 10, 14, 17, 21, 28, 33]"
782,"Онаскажет:'А,вообще,Володька,хреново!'","[3, 12, 15, 23, 28, 31, 33, 36]"
783,Иначнётрассказывать.,"[1, 8]"
784,"Вот,-скажет,-вчера,кпримеру,приходилТарнтино","[19, 21, 30, 39, 44, 46, 48]"
785,"Нажрался,говорит,исталприставатькомне,здоровеннаядетина.","[9, 18, 20, 25, 36, 39, 44, 56]"
786,ЯтогдаемутакстрогосказалаКвентин!,"[1, 7, 11, 15, 22, 30, 32, 36]"
787,"Может,тыконечно,говорит,инезаметил,","[6, 9, 18, 27, 29, 32]"
788,"Новообще-тояждуВолодькуизРоссии,","[2, 12, 14, 18, 23, 26, 28, 30, 33]"
789,"Атебя,говорит,вообщезаходитьнепросили","[1, 7, 16, 23, 32, 35]"
790,"Воттакаябатва,прикинь?","[3, 9, 16]"
791,Бываетнедосмеха,"[6, 9, 12]"
792,"Вобщем,былотруднобезтебя,Вован.","[1, 8, 13, 20, 24, 30, 33]"
793,"Хорошо,чтоприехал","[7, 11]"
794,"Жил-былнасветеАнтонГородецкий,","[7, 10, 16, 20, 23]"
795,"Бросилажена,онгрустилнепо-детски.","[7, 13, 16, 24, 27]"
796,Пришёлкколдунье:'Ану-канаколдуймне!',"[6, 8, 19, 21, 27, 36]"
797,"'Легко,мойхороший,толькохлопнувладоши,","[1, 8, 12, 21, 28, 36]"
798,"Иженавернётся,оттогоотвернётся,","[1, 6, 16, 23]"
799,Ималенькаяжизньвнутринеёоборвётся.',"[1, 11, 17, 24, 28]"
800,Новдругналетелинаведьмутени,"[2, 8, 17, 20, 27]"
801,"Привидений,говорят:'Небыватьпреступленью'","[11, 21, 24, 31]"
802,"Нучтожеты,чтотыпотупилавзор?","[2, 6, 9, 13, 17, 20, 29]"
803,"Сдавайся,ведьма–«НочнойДозор».","[9, 16, 18, 26]"
804,"Итреснулмирнапополам,дымитразлом,","[1, 9, 13, 24, 30]"
805,"Ильётсякровь,идётвойнадобрасозлом.","[1, 8, 15, 20, 26, 32, 35]"
806,"Имеркнетсвет,вуглахпаукплетётузор,","[1, 9, 15, 17, 23, 28, 35]"
807,Потёмнымулицамлетит«ночнойдозор».,"[2, 9, 16, 22, 30]"
808,"ИпонялАнтоха,чтопоступилплохо,","[1, 8, 10, 13, 17, 21, 30]"
809,"Ито,чторазвелаегоколдунья,каклоха.","[1, 5, 9, 17, 21, 31, 35]"
810,"Носила«иного»вантоновомвзоре,","[6, 14, 18, 21, 27]"
811,"Азначит,онбудетработатьв«дозоре».","[1, 9, 12, 18, 27, 29]"
812,"Годыпрошли,Городецкийнетужит,","[4, 12, 23, 26]"
813,"Водочкуглушит,свампирамидружит.","[7, 15, 17, 27]"
814,Начальникхороший–мудрейшийГесер,"[9, 17, 19, 29, 32]"
815,Былзам.министромinUSSR.,"[3, 8, 18, 21]"
816,"Новотвызывают,нужноехатьскорее,","[2, 6, 16, 22, 28]"
817,Вампир-парикмахерсподружкойсвоею,"[17, 19, 29]"
818,"Влоговоксебезаманилиподростка,","[1, 8, 10, 15, 24]"
819,Решилипоужинатьподлоипросто.,"[6, 16, 22, 24]"
820,"Антохауспел,завязаласьдрака,","[3, 7, 14, 25]"
821,"Согромнымтрудом,новсёжубилвурдалака,","[1, 10, 18, 21, 25, 27, 32]"
822,"Ножницамибылтяжелораненвбою,","[9, 13, 20, 26, 28]"
823,"Присмертибыл,можносказатьнакраю.","[3, 10, 15, 21, 29, 32]"
824,"НодобрыйГесереговылечилбыстро,","[2, 9, 12, 16, 20, 28]"
825,"Ещебы,абыкогонеберутвзамминистры.","[3, 7, 9, 12, 17, 20, 26, 28]"
826,"Адальше-бедазабедой,какпонотам:","[1, 13, 16, 23, 27, 30, 33]"
827,"Вороназалетелавтурбинусамолёта,","[6, 15, 17, 25]"
828,"Натеплоцентраличего-товзорвалось,","[2, 16, 24]"
829,"АСветавиновнавовсёмоказалась,","[1, 7, 15, 18, 23]"
830,"Но,встретивкрасавцаАнтона,влюбилась,","[3, 12, 21, 25, 30]"
831,Иразрушениеостановилось.,"[1, 12]"
832,НозлойЗавулониз«дозорадневного»,"[2, 7, 10, 14, 17, 20, 28]"
833,СделализсынаАнтона«иного».,"[6, 9, 14, 18, 22]"
834,Икаксэтимсправитсянашгерой?,"[1, 5, 7, 12, 22, 26]"
835,Всенапросмотркартинывторой!,"[3, 6, 15, 23]"
836,"Вгазетахписали,чтотыуезжаешь,","[1, 9, 17, 21, 24]"
837,"Чторейснеотменят,чторейснеотложат.","[3, 8, 11, 20, 24, 29, 32]"
838,"Какие-толюдитебяокружают,","[8, 13, 18]"
839,"Аближе,чембыли-уженевозможно.","[1, 8, 12, 21]"
840,"Вкрасивыхжурналахсчитаютпунктиры,","[1, 10, 19, 27]"
841,Ая-доквартирывечернеесальто.,"[1, 6, 15, 24]"
842,"Икривятсягубы,икофепротивен,","[1, 10, 16, 18, 23]"
843,"Иновоеутро,иновое'неттебя...'","[1, 7, 13, 15, 22, 26]"
844,Япоасфальтушагаю,"[1, 4, 13]"
845,"Стем,когосберечьнесмогу.","[1, 6, 11, 19, 22]"
846,"Доостановкитрамвая,","[2, 12]"
847,Звенящегонабегу.,[9]
848,"Вгазетахписали,чтоты-идиотка,","[1, 9, 17, 21]"
849,Вовсёмвиноватапроклятаяводка.,"[2, 7, 16, 26]"
850,"Ругаешьсяматом,ипесеннепишешь,","[9, 16, 18, 24, 27]"
851,"Тебяокружаютнелюди,амыши.","[4, 13, 16, 22, 24]"
852,Такоеневыдуматьдаженарошно.,"[5, 8, 17, 22]"
853,"Аякаждыйвечерползудоквартиры,","[1, 3, 10, 16, 22, 25]"
854,"Иближе,чембыли-уженевозможно.","[1, 8, 12, 21]"
855,"Измученныйдорогой,явыбилсяизсил.","[10, 19, 21, 29, 32]"
856,Ивдомелесникаяночлегапопросил.,"[1, 3, 8, 16, 18, 26]"
857,Сулыбкойдобродушнойстарикменявпустил.,"[1, 9, 21, 28, 33]"
858,Ижестомдружелюбнымнаужинпригласил.,"[1, 8, 20, 23, 28]"
859,"Будькакдома,путник,янивчёмнеоткажу,","[4, 8, 14, 22, 24, 27, 29, 33, 36]"
860,"Янивчемнеоткажу,янивчёмнеоткажу!","[1, 4, 6, 10, 13, 21, 23, 26, 28, 32, 35]"
861,"Множествоисторий,кольжелаешь,расскажу,","[9, 18, 23, 32]"
862,"Кольжелаешь,расскажу,","[4, 13]"
863,"Кольжелаешь,расскажу!","[4, 13]"
864,"Наулицетемнело,сиделязастолом.","[2, 8, 17, 23, 25, 28]"
865,"Лесниксиделнапротив,болталотом,осём.","[6, 12, 22, 30, 35, 37]"
866,"Чтонетсредиживотныхустарикаврагов,","[3, 7, 13, 22, 24, 32]"
867,Чтонравитсяемуподкармливатьволков.,"[3, 12, 16, 30]"
868,Иволкисрединочизавылиподокном.,"[1, 7, 13, 18, 25, 29]"
869,Старикзаулыбалсяивдругпокинулдом.,"[6, 17, 19, 25, 33]"
870,Новскоревозвратилсясружьёмнаперевес:,"[2, 9, 21, 23, 30]"
871,"'Друзьяхотятпокушать,пойдём,приятель,влес!'","[1, 8, 14, 24, 32, 42, 44]"
872,Яшёлксебедомой,"[1, 6, 11]"
873,Яшёлпомокрымлужам,"[1, 5, 8, 15]"
874,Поскользкоймостовой,"[2, 12]"
875,Ногамиснегутюжил,"[6, 11]"
876,Амокрыйснегпадал,"[1, 8, 13]"
877,Аяшёлдомой,"[1, 3, 7]"
878,Позимнемусаду,"[2, 10]"
879,Попустоймостовой,"[2, 9]"
880,Оншёлсомнойрядом,"[2, 6, 9, 14]"
881,Шпионилзамной,"[7, 10]"
882,Следилзамнойвзглядом,"[6, 9, 14]"
883,Бесшумныйконвой,[9]
884,Ивотястою,"[1, 5, 7]"
885,Накраюснегопада,"[2, 7]"
886,Снебападаетснег,"[1, 6, 13]"
887,Значитнебутакнадо,"[6, 11, 15]"
888,Вэтотрудноповерить,"[1, 5, 12]"
889,Явернулсядомой,"[1, 10]"
890,Тыоткрыламнедвери,"[2, 10, 14]"
891,Снегвошёлвследзамной,"[4, 10, 16, 19]"
892,Ивдругснеграстаял,"[1, 7, 12]"
893,Увиделтебя,[6]
894,Напорогеостались,"[2, 9]"
895,Толькокаплидождя,"[6, 12]"
896,Насуноситрека,"[3, 10]"
897,Плавныхвёселволнами,"[7, 13]"
898,Словнокто-тооткрыл,"[6, 13]"
899,Всенебесныекраны,"[3, 12]"
900,Мыстоимнакраю,"[2, 8, 11]"
901,Накраюводопада,"[2, 7]"
902,Снебальётсявода,"[1, 6, 13]"
903,Заморямиестьлимоновыйсад,"[2, 9, 14, 19, 25]"
904,Янайдулимонибудурад,"[1, 7, 13, 15, 20]"
905,Нотебенедамнесмейменявинить,"[2, 7, 10, 13, 17, 22, 27]"
906,Посмотритедочегоонхорош,"[10, 13, 18, 21]"
907,Нонадорогетыегоненайдешь,"[2, 5, 12, 15, 19, 22]"
908,Попробуйсделайсамнебудуятебяучить,"[8, 15, 19, 22, 27, 29, 34]"
909,Растутлимонынавысокихгорах,"[6, 13, 16, 24]"
910,Накрутыхберегахдлякрутых,"[2, 9, 17, 21]"
911,Корочетынедостанешь,"[6, 9, 12]"
912,Явижуцельязалимономдотянутьсяхочу,"[1, 6, 11, 13, 16, 24, 35]"
913,Язалимономлечуикрутизнойнаслаждаюсь,"[1, 4, 12, 17, 19, 29]"
914,СтранаЛимониястранабеззабот,"[6, 12, 14, 16, 23, 27]"
915,ВстрануЛимониюведетподземныйход,"[1, 8, 14, 16, 18, 24, 34]"
916,Найтипопробуйсамнебудуятебяучить,"[5, 14, 18, 21, 26, 28, 33]"
917,Труднадорогаиповсюдуобман,"[6, 13, 15, 23]"
918,Ночтобнесбитьсяуменяестьплан,"[2, 7, 10, 18, 20, 25, 30]"
919,Ноятебенедамнесмейменявинить,"[2, 4, 9, 12, 15, 19, 24, 29]"
920,СтрануЛимониюищусдавнихпор,"[6, 12, 14, 16, 20, 22, 29]"
921,Мненадоелвечнозеленыйпомидор,"[3, 10, 23]"
922,Еготыкушайсамнесмейегосомнойделить,"[3, 6, 12, 16, 19, 24, 28, 31, 36]"
923,Несмейегосомнойделить,"[2, 7, 11, 14, 19]"
924,"Выйдунаулицу-солнцанема,","[5, 8, 21, 25]"
925,Парнимолодыесвелименясума.,"[5, 13, 19, 24, 26]"
926,"Выйдунаулицу,глянунасело,-","[5, 8, 15, 21, 24]"
927,"Девкигуляют,имневесело.","[5, 13, 15, 19]"
928,"Матушкародная,водицымнедай,","[7, 15, 22, 26]"
929,Сердцемоетакикидаетвжар.,"[6, 10, 14, 16, 23, 25]"
930,"Раньшеягулялавзеленомсаду,","[6, 8, 15, 17, 25]"
931,Думаланаулицувекнепойду.,"[6, 9, 15, 19, 22]"
